"","word","in.cs","in.cs.se","chosen","chosen.se"
"47","FRIEND",0.923076923076923,0.0522589400374429,0.0833333333333333,0.0542036362989992
"48","GIRAFFE",0.888888888888889,0.0604812282168686,0.0833333333333333,0.0531903948753521
"49","GOGGLES",0.866666666666667,0.0620632890834175,0.0384615384615385,0.0351104203528953
"50","HEAVEN",0.96551724137931,0.0338830127200357,0.142857142857143,0.0649798323067631
"51","HERMIT",0.928571428571429,0.0486703674192319,0.0769230769230769,0.0503579746698444
"52","JACKET",0.9375,0.0605153647844909,0,0
"53","JAVELIN",0.875,0.0675077156084152,0,0
"54","JUNGLE",0.777777777777778,0.0979907892986885,0,0
"55","KIDNEY",0.846153846153846,0.100068251628922,0,0
"56","LIQUID",0.833333333333333,0.0878410461157883,0.133333333333333,0.0801233616769775
"57","MAGNET",0.875,0.0826797284707685,0.0714285714285714,0.0643848442047141
"58","MONKEY",0.916666666666667,0.0797855923130282,0,0
"59","MUFFIN",0.904761904761905,0.0640564484890047,0.0526315789473684,0.0487273736722396
"60","PARENT",1,0,0.0416666666666667,0.04078937543219
"61","PEACOCK",0.9,0.0670820393249937,0.166666666666667,0.0833333333333333
"62","PEANUT",0.769230769230769,0.116854542355808,0,0
"63","PENGUIN",0.884615384615385,0.0626562680016194,0.173913043478261,0.0743348186317487
"64","PICKLE",0.769230769230769,0.116854542355808,0.1,0.0832050294337844
"65","PICTURE",0.588235294117647,0.119364624987269,0.1,0.0727606875108999
"66","PILLAR",0.8,0.0894427190999916,0,0
"67","PLANET",0.833333333333333,0.107582870727984,0.1,0.0866025403784439
"68","PRIEST",0.947368421052632,0.0512278171991882,0.111111111111111,0.07209840939145
"69","PUMPKIN",0.952380952380952,0.0464714320451683,0.1,0.0654653670707977
"70","ROYALTY",0.90625,0.0515269763995036,0.137931034482759,0.0609574811367713
"71","SCIENCE",0.75,0.153093108923949,0,0
"72","SHIVER",0.666666666666667,0.111111111111111,0.333333333333333,0.111111111111111
"73","SILVER",1,0,0.1,0.0670820393249937
"74","SMOKER",0.857142857142857,0.0935219529582825,0,0
"75","SPATULA",0.9,0.0547722557505166,0.185185185185185,0.0709205265004695
"76","SPIRAL",0.961538461538462,0.0377146413727277,0.16,0.0718973627418334
"77","SPONGE",1,0,0,0
"78","SUMMER",0.791666666666667,0.0828981693493981,0,0
"79","SUNBURN",0.903225806451613,0.0531003155969743,0.142857142857143,0.06284876358058
"80","TENNIS",0.769230769230769,0.116854542355808,0.1,0.0832050294337844
"81","THRONE",1,0,0.0476190476190476,0.0464714320451682
"82","TONGUE",0.806451612903226,0.0709582814619451,0.04,0.0351953076051248
"83","TRAFFIC",0.807692307692308,0.0772920146604327,0,0
"84","TRIVIA",0.861111111111111,0.0576384240647626,0.290322580645161,0.0756518670939263
"85","TURKEY",0.714285714285714,0.120736322104074,0,0
"86","WAFFLE",0.8,0.0894427190999916,0,0
"87","WALNUT",0.823529411764706,0.0924594409403972,0,0
"88","WALRUS",0.925925925925926,0.0504010235140572,0.24,0.082192186706253
